 YÜRÜTME VE İDARE BÖLÜMÜ , ATAMA KARARLARI ,"–– Cumhurbaşkanlığı Tarafından Yapılan Atamalar Hakkında Kararlar (Karar: 2022/695, 696, 697, 698, 699)",https://www.resmigazete.gov.tr/eskiler/2022/12/20221231-12.pdf
 YÜRÜTME VE İDARE BÖLÜMÜ , YÖNETMELİKLER ,–– Ereğli Kömür Havzası Amelebirliği Biriktirme ve Yardımlaşma Sandığı Yönetmeliğinde Değişiklik Yapılmasına Dair Yönetmelik (Karar Sayısı: 6624),https://www.resmigazete.gov.tr/eskiler/2022/12/20221231-1.pdf
 YÜRÜTME VE İDARE BÖLÜMÜ , YÖNETMELİKLER ,–– Planlı Alanlar İmar Yönetmeliğinde Değişiklik Yapılmasına Dair Yönetmelik,https://www.resmigazete.gov.tr/eskiler/2022/12/20221231-2.htm
 YÜRÜTME VE İDARE BÖLÜMÜ , YÖNETMELİKLER ,–– İki veya Üç Tekerlekli Motorlu Araçların ve Dört Tekerlekli Motosikletlerin Tip Onayı ve Piyasa Gözetimi ve Denetimi Hakkında Yönetmelik (AB/168/2013)’te Değişiklik Yapılmasına Dair Yönetmelik,https://www.resmigazete.gov.tr/eskiler/2022/12/20221231-3.htm
 YÜRÜTME VE İDARE BÖLÜMÜ , TEBLİĞLER ,–– Lisanslı Yediemin Depoları Yönetmeliği Ücret Tarifesi,https://www.resmigazete.gov.tr/eskiler/2022/12/20221231-4.htm
 YÜRÜTME VE İDARE BÖLÜMÜ , TEBLİĞLER ,–– Çevresel Etki Değerlendirmesi Yeterlik Belgesi Tebliği,https://www.resmigazete.gov.tr/eskiler/2022/12/20221231-5.htm
 YÜRÜTME VE İDARE BÖLÜMÜ , TEBLİĞLER ,–– 5627 Sayılı Enerji Verimliliği Kanununun 10 uncu Maddesine Göre 2023 Yılında Uygulanacak Olan İdari Para Cezalarına İlişkin Tebliğ (Sıra Numarası: 2023/2),https://www.resmigazete.gov.tr/eskiler/2022/12/20221231-6.htm
 YÜRÜTME VE İDARE BÖLÜMÜ , TEBLİĞLER ,–– Beşeri Tıbbi Ürünlerin Fiyatlandırılması Hakkında Tebliğde Değişiklik Yapılmasına Dair Tebliğ,https://www.resmigazete.gov.tr/eskiler/2022/12/20221231-7.htm
 YÜRÜTME VE İDARE BÖLÜMÜ , TEBLİĞLER ,–– Reeskont ve Avans İşlemlerinde Uygulanacak Faiz Oranlarının Tespiti,https://www.resmigazete.gov.tr/eskiler/2022/12/20221231-8.pdf
 YÜRÜTME VE İDARE BÖLÜMÜ , TEBLİĞLER ,–– 2920 Sayılı Sivil Havacılık Kanunu Uyarınca Verilecek İdari Para Cezalarına İlişkin Tebliğ (2023/1),https://www.resmigazete.gov.tr/eskiler/2022/12/20221231-9.htm
 YÜRÜTME VE İDARE BÖLÜMÜ , TEBLİĞLER ,–– Sivil Havacılık Genel Müdürlüğü Tarafından Verilecek İdari Para Cezaları Hakkında Yönetmelikte Yer Alan İdari Para Cezalarının Yeniden Değerlendirilmesine İlişkin Tebliğ (2023/2),https://www.resmigazete.gov.tr/eskiler/2022/12/20221231-10.htm
 YARGI BÖLÜMÜ , YARGITAY KARARI ,–– Yargıtay 9. Hukuk Dairesine Ait Karar,https://www.resmigazete.gov.tr/eskiler/2022/12/20221231-11.pdf
 İLÂN BÖLÜMÜ , YARGITAY KARARI ,a - Yargı İlânları,https://www.resmigazete.gov.tr/ilanlar/eskiilanlar/2022/12/20221231-2.htm
 İLÂN BÖLÜMÜ , YARGITAY KARARI ,"b - Artırma, Eksiltme ve İhale İlânları",https://www.resmigazete.gov.tr/ilanlar/eskiilanlar/2022/12/20221231-3.htm
 İLÂN BÖLÜMÜ , YARGITAY KARARI ,c - Çeşitli İlânlar,https://www.resmigazete.gov.tr/ilanlar/eskiilanlar/2022/12/20221231-4.htm
 İLÂN BÖLÜMÜ , YARGITAY KARARI ,– T.C. Merkez Bankasınca Belirlenen Döviz Kurları ve Devlet İç Borçlanma Senetlerinin Günlük Değerleri,https://www.resmigazete.gov.tr/ilanlar/eskiilanlar/2022/12/20221231-5.htm
